issue_id,issue_code,source_sheet,source_row,entity,disposition,reason
e3a79e91-f96c-5fa6-906f-c460f57854f3,MISSING_TOOL,EOAT Inventory,29,P4-EOAT-0011,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the tool relationship.
4db7db2e-d816-5532-b0a7-9e32d8e4cf70,AMBIGUOUS_MACHINE_VALUE,EOAT Inventory,37,26 - Xqual in 25,DISPLAY_AS_UNKNOWN,Preserve the value in traceability; do not create a machine relationship.
31cb73be-2b7f-553c-9fb9-d6dd0e560550,MISSING_MACHINE,EOAT Inventory,54,P4-EOAT-0028,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
355d1e3c-a1b7-5c4c-87fb-255ce43fdc8c,MISSING_MACHINE,EOAT Inventory,55,P4-EOAT-0029,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
e4a51585-7d90-5019-8921-01dcfcfc8ac8,MISSING_MACHINE,EOAT Inventory,56,P4-EOAT-0030,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
1fc63741-acfb-54b7-b585-c3ac293d61c8,MISSING_MACHINE,EOAT Inventory,57,P4-EOAT-0031,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
f7fe5f11-6707-5fce-99b4-7167f76c117d,MISSING_MACHINE,EOAT Inventory,58,P4-EOAT-0032,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
e4e78fe7-d6cf-54c1-9789-13d242d83ae2,MISSING_MACHINE,EOAT Inventory,59,P4-EOAT-0033,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
32e93633-a183-5c3f-837f-d6ddf0c43bd0,MISSING_MACHINE,EOAT Inventory,60,P4-EOAT-0034,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
e8055613-d050-5fb2-bc44-04eaf0348782,MISSING_MACHINE,EOAT Inventory,61,P4-EOAT-0035,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
02a0e214-261d-5cf1-ad74-0924ed626372,MISSING_MACHINE,EOAT Inventory,62,P4-EOAT-0036,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
28cd88af-51ad-53ec-9895-abc48cbcc2a6,MISSING_MACHINE,EOAT Inventory,63,P4-EOAT-0037,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
61f3b209-a1c4-5754-a006-9855f64c5f0a,MISSING_MACHINE,EOAT Inventory,65,P4-EOAT-0039,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
cfa8401d-a5d9-5985-a3ab-e6c1d96ce961,MISSING_MACHINE,EOAT Inventory,66,P4-EOAT-0040,DISPLAY_AS_UNKNOWN,Import the audit and EOAT; defer the machine relationship.
1e781722-631d-5a38-972e-cc7eae7d71a9,CONFLICTING_EOAT_ATTRIBUTE,EOAT Inventory,86,CL-EOAT-0052,DISPLAY_AS_UNKNOWN,Leave the normalized field unknown until an administrator resolves it.
65de14e8-2b13-5fd5-a154-aadf3429718c,CONFLICTING_EOAT_ATTRIBUTE,EOAT Inventory,89,CL-EOAT-0052,DISPLAY_AS_UNKNOWN,Leave the normalized field unknown until an administrator resolves it.
0b99e4bc-cc60-514f-9ca1-4914c2003bdb,CONFLICTING_CURRENT_ASSIGNMENT,EOAT Inventory,,CL-EOAT-0050,DISPLAY_AS_UNKNOWN,Do not create an active installation or storage assignment.
7d94270e-b85f-59df-b389-2c4fa24da652,CONFLICTING_CURRENT_ASSIGNMENT,EOAT Inventory,,CL-EOAT-0052,DISPLAY_AS_UNKNOWN,Do not create an active installation or storage assignment.
f6f83033-ec78-5461-974a-0d789068dfb8,CONFLICTING_CURRENT_ASSIGNMENT,EOAT Inventory,,CL-EOAT-0054,DISPLAY_AS_UNKNOWN,Do not create an active installation or storage assignment.
3dbd8c52-0208-5eb3-95a9-540397713bae,CONFLICTING_CURRENT_ASSIGNMENT,EOAT Inventory,,P4-EOAT-0057,DISPLAY_AS_UNKNOWN,Do not create an active installation or storage assignment.
3566aee7-8278-5cb4-9352-56b50d2f3f14,POSSIBLE_PART_NOT_CONFIRMED,EOAT Inventory,2,WORM GEAR,SAFE_TO_DEFER,Preserve the candidate; do not create a part or tool-part relationship.
70dae375-7324-5913-873d-9e520419c2bb,POSSIBLE_PART_NOT_CONFIRMED,EOAT Inventory,3,"WASHER, 29MM",SAFE_TO_DEFER,Preserve the candidate; do not create a part or tool-part relationship.
